GEOID,County,Donald J. Trump,Joe R. Biden,Jo Jorgensen,Don_Per,Joe_Per,Don_MOV,Joe_MOV,Total_Pres,David A. Purdue,Jon Ossoff,Pur_Per,Oss_Per,Pur_MOV,Oss_MOV,Total_Sen1,Kelly Loeffler,Raphael Warnock,Others,Loe_Per,War_Per,Loe_MOV,War_MOV,Total_Sen2
13171,Lamar,6330,2615,94,70.02,28.93,41.089999999999996,-41.089999999999996,9039,6280,2511,69.87,27.93,41.940000000000005,-41.940000000000005,8988,3243,1994,3706.0,36.26,22.29,13.969999999999999,-13.969999999999999,8943
13173,Lanier,2509,1019,48,70.16,28.49,41.67,-41.67,3576,2481,944,70.5,26.82,43.68,-43.68,3519,1191,365,1872.0,34.74,10.64,24.1,-24.1,3428
13175,Laurens,14493,8073,163,63.76,35.51,28.25,-28.25,22729,14363,7698,63.9,34.25,29.65,-29.65,22474,6592,5334,10397.0,29.53,23.89,5.640000000000001,-5.640000000000001,22323
13177,Lee,12007,4558,149,71.83,27.27,44.56,-44.56,16714,11862,4424,71.63,26.71,44.919999999999995,-44.919999999999995,16559,6365,2970,7123.0,38.67,18.04,20.630000000000003,-20.630000000000003,16458
13179,Liberty,7959,13099,331,37.21,61.24,-24.03,24.03,21389,7743,12738,36.71,60.39,-23.68,23.68,21091,3759,7723,9471.0,17.94,36.85,-18.91,18.91,20953
13181,Lincoln,3179,1435,36,68.36,30.86,37.5,-37.5,4650,3139,1371,68.34,29.84,38.5,-38.5,4593,1725,803,2033.0,37.82,17.6,20.22,-20.22,4561
13183,Long,3528,2033,95,62.37,35.94,26.43,-26.43,5656,3389,2029,60.72,36.35,24.369999999999997,-24.369999999999997,5581,1708,1233,2579.0,30.94,22.33,8.610000000000003,-8.610000000000003,5520
13185,Lowndes,25691,20117,547,55.42,43.39,12.030000000000001,-12.030000000000001,46355,25620,19124,55.97,41.78,14.189999999999998,-14.189999999999998,45772,12607,7931,24607.0,27.92,17.56,10.360000000000003,-10.360000000000003,45145
13187,Lumpkin,12163,3126,242,78.31,20.12,58.19,-58.19,15531,11941,2926,77.72,19.04,58.68,-58.68,15363,4366,2042,8916.0,28.49,13.32,15.169999999999998,-15.169999999999998,15324
13189,McDuffie,6169,4168,118,59.0,39.86,19.14,-19.14,10455,6198,3968,59.76,38.26,21.5,-21.5,10370,3503,2387,4417.0,33.98,23.15,10.829999999999998,-10.829999999999998,10307
13191,McIntosh,4016,2612,68,59.97,39.0,20.97,-20.97,6696,3967,2498,60.08,37.83,22.25,-22.25,6602,2117,1545,2832.0,32.59,23.79,8.800000000000004,-8.800000000000004,6494
13193,Macon,1783,2857,22,38.24,61.28,-23.04,23.04,4662,1787,2727,38.9,59.37,-20.47,20.47,4593,823,1987,1743.0,18.07,43.64,-25.57,25.57,4553
13195,Madison,11326,3411,200,75.82,22.83,52.989999999999995,-52.989999999999995,14937,11136,3303,75.25,22.32,52.93,-52.93,14798,4808,2284,7582.0,32.76,15.56,17.199999999999996,-17.199999999999996,14674
13197,Marion,2275,1311,38,62.77,36.17,26.6,-26.6,3624,2248,1267,62.46,35.2,27.259999999999998,-27.259999999999998,3599,1078,849,1623.0,30.36,23.91,6.449999999999999,-6.449999999999999,3550
13199,Meriwether,6524,4287,66,59.97,39.41,20.560000000000002,-20.560000000000002,10877,6432,4135,59.76,38.42,21.339999999999996,-21.339999999999996,10762,3255,3018,4421.0,30.43,28.22,2.210000000000001,-2.210000000000001,10694
13201,Miller,2066,749,20,72.87,26.41,46.46000000000001,-46.46000000000001,2835,2047,687,73.6,24.7,48.89999999999999,-48.89999999999999,2781,881,271,1491.0,33.33,10.25,23.08,-23.08,2643
13205,Mitchell,4935,3995,33,55.05,44.57,10.479999999999997,-10.479999999999997,8963,4921,3832,55.47,43.19,12.280000000000001,-12.280000000000001,8871,2090,2598,4122.0,23.72,29.48,-5.760000000000002,5.760000000000002,8810
13207,Monroe,11060,4384,148,70.93,28.11,42.82000000000001,-42.82000000000001,15592,10929,4205,70.83,27.25,43.58,-43.58,15428,6077,3197,6071.0,39.6,20.83,18.770000000000003,-18.770000000000003,15345
13209,Montgomery,2960,979,27,74.63,24.68,49.949999999999996,-49.949999999999996,3966,2927,931,74.66,23.75,50.91,-50.91,3920,1332,582,1924.0,34.7,15.16,19.540000000000003,-19.540000000000003,3838
13211,Morgan,8230,3355,122,70.29,28.65,41.64000000000001,-41.64000000000001,11707,8259,3151,71.03,27.1,43.93,-43.93,11627,4360,2392,4813.0,37.69,20.68,17.009999999999998,-17.009999999999998,11565
