UniqueID,County,Precinct,Donald J. Trump,Joe R. Biden,Jo Jorgensen,Don_Per,Joe_Per,Don_MOV,Joe_MOV,Total_Pres,David A. Purdue,Jon Ossoff,Pur_Per,Oss_Per,Pur_MOV,Oss_MOV,Total_Sen1,Kelly Loeffler,Raphael Warnock,Loe_Per,War_Per,Loe_MOV,War_MOV,Others,Total_Sen2
"Atkinson,Axson",Atkinson,Axson,479,45,3,90.89,8.53,82.36,-82.36,527,461,46,89.16,8.89,80.27,-80.27,517,166,19,33.46,3.83,29.63,-29.63,311,496
"Atkinson,Willacoochee",Atkinson,Willacoochee,566,291,10,65.28,33.56,31.72,-31.72,867,565,270,66.31,31.69,34.62,-34.62,852,238,156,28.74,18.84,9.9,-9.9,434,828
"Atkinson,Pearson City",Atkinson,Pearson City,229,329,6,40.6,58.33,-17.73,17.73,564,238,293,43.83,53.95,-10.12,10.12,543,100,157,19.01,29.84,-10.83,10.83,269,526
"Bacon,Douglas",Bacon,Douglas,4018,625,25,86.07,13.38,72.69,-72.69,4668,3929,591,85.59,12.87,72.72,-72.72,4590,1547,315,34.28,6.98,27.3,-27.3,2650,4512
"Baker,Anna",Baker,Anna,93,31,0,75,25,50,-50,124,94,28,77.04,22.95,54.09,-54.09,122,52,16,42.97,13.22,29.75,-29.75,53,121
"Baker,Elmodel",Baker,Elmodel,141,148,0,48.78,51.21,-2.43,2.43,289,136,147,47.38,51.21,-3.83,3.83,287,61,94,21.4,32.98,-11.58,11.58,130,285
"Baker,Hoggards Mill",Baker,Hoggards Mill,120,111,3,51.28,47.43,3.85,-3.85,234,114,115,49.56,50,-0.44,0.44,230,52,69,23.85,31.65,-7.8,7.8,97,218
"Baker,Milford",Baker,Milford,137,69,0,66.5,33.49,33.01,-33.01,206,135,65,67.5,32.5,35,-35,200,62,46,31.15,23.11,8.04,-8.04,91,199
"Baker,Newton",Baker,Newton,406,293,3,57.83,41.73,16.1,-16.1,702,394,293,56.69,42.15,14.54,-14.54,695,186,232,26.91,33.57,-6.66,6.66,273,691
"Baldwin,South Milledgeville",Baldwin,South Milledgeville,179,583,9,23.21,75.61,-52.4,52.4,771,182,571,23.75,74.54,-50.79,50.79,766,76,395,10.01,52.04,-42.03,42.03,288,759
"Baldwin,City Hall Annex",Baldwin,City Hall Annex,153,331,6,31.22,67.55,-36.33,36.33,490,153,312,31.67,64.59,-32.92,32.92,483,87,190,18.23,39.83,-21.6,21.6,200,477
"Baldwin,Boddie",Baldwin,Boddie,134,547,6,19.5,79.62,-60.12,60.12,687,142,527,20.79,77.15,-56.36,56.36,683,58,353,8.57,52.21,-43.64,43.64,265,676
"Baldwin,Courthouse",Baldwin,Courthouse,113,169,6,39.23,58.68,-19.45,19.45,288,113,166,39.37,57.83,-18.46,18.46,287,47,109,16.43,38.11,-21.68,21.68,130,286
"Baldwin,Fire Dept",Baldwin,Fire Dept,212,711,10,22.72,76.2,-53.48,53.48,933,218,681,23.59,73.7,-50.11,50.11,924,112,495,12.2,53.92,-41.72,41.72,311,918
"Baldwin,North Milledgeville",Baldwin,North Milledgeville,793,859,22,47.37,51.31,-3.94,3.94,1674,803,821,48.25,49.33,-1.08,1.08,1664,416,544,25.18,32.92,-7.74,7.74,692,1652
"Baldwin,Meriweather",Baldwin,Meriweather,1366,831,26,61.44,37.38,24.06,-24.06,2223,1359,789,61.66,35.79,25.87,-25.87,2204,703,564,32.02,25.69,6.33,-6.33,928,2195
